id,title,date,year,url,domain,source_name,source_type,collector,browser_family,incident_types,seeded,extension_related,incident_like,note,description
2024-12-16-chrome-extensions-hacked-exposing-html,"Dozens of Chrome Extensions Hacked, Exposing Millions of Users to Data Theft",2024-12-29,2024,http://thehackernews.com/2024/12/16-chrome-extensions-hacked-exposing.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,malicious-extension|supply-chain,False,True,True,,"A new attack campaign has targeted known Chrome browser extensions, leading to at least 35 extensions being compromised and exposing over 2.6 million users to data exposure and credential theft. The attack targeted publishers of browser extensions on the Chrome Web Store via a phishing campaign and used their access permissions to insert malicious code into legitimate extensions in order to"
blog-attack-campaign-targeting-browser-extensions,"Attack Campaign Targeting Browser Extensions: What Happened, Who’s Impacted, How to Protect Yourself, and How LayerX Can Help (Rolling Updates) - LayerX",2024-12-30,2024,https://layerxsecurity.com/blog/attack-campaign-targeting-browser-extensions/,layerxsecurity.com,LayerX Security,sitemap,https://layerxsecurity.com/sitemap-posts.xml,chrome|chromium,other,False,True,False,,"Home Blog Attack Campaign Targeting Browser Extensions: What Happened, Who’s Impacted, How to Protect Yourself, and How LayerX Can Help (Rolling Updates) Attack Campaign Targeting Browser Extensions: What Happened, Who’s Impacted, How to Protect Yourself, and How LayerX Can Help (Rolling Updates) Or Eshed Published - December 30, 2024 Share: Last updated: December 30th, 2024 This blog thread is tracking the unfolding global attack campaign targeting browser extensions on the Chrome Web Store. We will update new details as they become available."
2024-12-when-good-extensions-go-bad-takeaways-html,When Good Extensions Go Bad: Takeaways from the Campaign Targeting Browser Extensions,2024-12-30,2024,http://thehackernews.com/2024/12/when-good-extensions-go-bad-takeaways.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome|opera,malicious-extension|supply-chain,False,True,True,,"News has been making headlines over the weekend of the extensive attack campaign targeting browser extensions and injecting them with malicious code to steal user credentials. Currently, over 25 extensions, with an install base of over two million users, have been found to be compromised, and customers are now working to figure out their exposure (LayerX, one of the companies involved in"
news-chrome-browser-extensions-hijacked,Dozens of Chrome Browser Extensions Hijacked by Data Thieves,2025-01-01,2025,https://www.infosecurity-magazine.com/news/chrome-browser-extensions-hijacked/,infosecurity-magazine.com,Infosecurity-magazine.com,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+compromised+publisher&format=rss,chrome|edge|opera,malicious-extension|supply-chain,False,True,True,,Security researchers have warned users of Google Chrome extensions to be on their guard after uncovering a major campaign focused on data theft. At least 36 compromised Chrome extensions have been ...
hackers-target-vpn-ai-extensions-google-chrome-malicious-updates,Hackers target dozens of VPN and AI extensions for Google Chrome to compromise data,2025-01-01,2025,https://therecord.media/hackers-target-vpn-ai-extensions-google-chrome-malicious-updates,therecord.media,The Record,bing-news-rss,https://www.bing.com/news/search?q=site%3Atherecord.media+browser+extension+malicious&format=rss,chrome,ai-related|malicious-extension,False,True,True,,"Cybersecurity researchers have uncovered dozens of attacks that involve malicious updates for Chrome browser extensions, one week after a security firm was compromised in a similar incident. As of ..."
security-2025-01-dozens-of-backdoored-chrome-extensions-discovered-on-2-6-million-devices,Time to check if you ran any of these 33 malicious Chrome extensions,2025-01-02,2025,https://arstechnica.com/security/2025/01/dozens-of-backdoored-chrome-extensions-discovered-on-2-6-million-devices/,arstechnica.com,Ars Technica,bing-news-rss,https://www.bing.com/news/search?q=site%3Aarstechnica.com+browser+extension+malicious&format=rss,chrome,malicious-extension,False,True,True,,"As many of us celebrated the year-end holidays, a small group of researchers worked overtime tracking a startling discovery: At least 33 browser extensions hosted in Google’s Chrome Web Store, some ..."
application-security-chrome-extension-compromises-highlight-software-supply-challenges,Chrome Compromises Highlight Software Supply Challenges,2025-01-02,2025,https://www.darkreading.com/application-security/chrome-extension-compromises-highlight-software-supply-challenges,darkreading.com,Dark Reading,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+supply+chain&format=rss,chrome|edge|opera,other,False,True,True,,"On Christmas Eve, developers at data detection and response firm Cyberhaven received a troubling email that seemed to come from Google, threatening to remove access to the company's Chrome extension ..."
tech-hacked-chrome-extensions-put-2-6-million-users-risk-data-leak,Hacked Chrome extensions put 2.6 million users at risk of data leak,2025-01-06,2025,https://www.foxnews.com/tech/hacked-chrome-extensions-put-2-6-million-users-risk-data-leak,foxnews.com,Fox News,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+compromised+publisher&format=rss,chrome,supply-chain,False,True,False,,"Your web browser is an ecosystem of its own. It stores your passwords, search history, financial details like credit card numbers, addresses and more. Just like how ..."
news-security-malicious-browser-extensions-are-the-next-frontier-for-identity-attacks,Malicious Browser Extensions are the Next Frontier for Identity Attacks,2025-01-07,2025,https://www.bleepingcomputer.com/news/security/malicious-browser-extensions-are-the-next-frontier-for-identity-attacks/,bleepingcomputer.com,Bleeping Computer,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+malicious&format=rss,chrome,malicious-extension,False,True,True,,The recent attack campaign targeting browser extensions shows that malicious browser extensions are the next frontier for identity attacks. More than 2.6 million users across thousands of ...
news-full-browser-device-takeover,Syncjacking Attack Enables Full Browser and Device Takeover,2025-01-29,2025,https://www.infosecurity-magazine.com/news/full-browser-device-takeover/,infosecurity-magazine.com,Infosecurity-magazine.com,bing-news-rss,https://www.bing.com/news/search?q=site%3Ainfosecurity-magazine.com+browser+extension+malicious&format=rss,chrome|edge|opera,malicious-extension,False,True,True,,"Security researchers have warned of a new attack which could enable malicious extensions to gain full control of a targeted browser and device, with minimal user interaction. SquareX said that, until ..."
